"Geneid","symbol","Length","AMFR_Clone4","AMFR_Clone8","AMFR_Clone10","AMFR_Clone22","AMFR_WT_B1","AMFR_WT_B2"
"ENSG00000000003","TSPAN6",4536,3301,3808,3614,3567,3487,3653
"ENSG00000000005","TNMD",1476,1,0,2,4,4,2
"ENSG00000000419","DPM1",1207,2007,2137,2255,1680,1968,1967
"ENSG00000000457","SCYL3",6883,426,450,541,523,463,482
"ENSG00000000460","C1orf112",5970,324,443,391,577,499,514
"ENSG00000000938","FGR",3382,1,0,1,2,0,2
"ENSG00000000971","CFH",7980,1308,470,607,339,601,632
"ENSG00000001036","FUCA2",2822,2952,2775,3336,2585,2878,2819
"ENSG00000001084","GCLC",8618,892,992,924,899,849,906
"ENSG00000001167","NFYA",3811,2197,2388,2650,2455,2429,2459
"ENSG00000001460","STPG1",8511,472,399,447,402,446,473
"ENSG00000001461","NIPAL3",9396,2298,1851,2270,1800,1791,1762
"ENSG00000001497","LAS1L",5589,1655,1756,2035,1890,1855,1911
"ENSG00000001561","ENPP4",4644,305,350,729,336,389,479
"ENSG00000001617","SEMA3F",4826,5839,5999,6641,5824,6379,7556
"ENSG00000001626","CFTR",9942,10,25,11,13,10,13
"ENSG00000001629","ANKIB1",7389,3480,3154,3917,3233,3399,3281
"ENSG00000001630","CYP51A1",3529,61,68,52,76,79,135
"ENSG00000001631","KRIT1",6204,342,356,362,345,291,342
"ENSG00000002016","RAD52",4503,350,358,451,472,365,431
"ENSG00000002079","MYH16",6307,43,37,226,37,119,134
"ENSG00000002330","BAD",1708,370,375,213,549,322,492
"ENSG00000002549","LAP3",3785,1764,1918,2011,1741,2040,1947
"ENSG00000002586","CD99",4858,19014,19295,19551,18542,19168,19975
"ENSG00000002587","HS3ST1",7435,292,457,512,921,502,628
"ENSG00000002726","AOC1",3824,0,0,0,0,0,0
"ENSG00000002745","WNT16",3264,0,2,3,2,1,2
"ENSG00000002746","HECW1",13935,6,4,3,8,3,4
"ENSG00000002822","MAD1L1",7230,3,4,2,4,4,1
"ENSG00000002834","LASP1",7061,11415,10163,10766,9801,11413,11199
"ENSG00000002919","SNX11",3606,1074,942,1205,919,1035,1073
"ENSG00000002933","TMEM176A",3477,87,60,51,129,45,57
"ENSG00000003056","M6PR",3585,2914,2672,3256,2623,2878,2841
"ENSG00000003096","KLHL13",6983,62,65,83,109,63,63
"ENSG00000003137","CYP26B1",5015,3,3,0,5,2,3
"ENSG00000003147","ICA1",4883,188,179,360,182,221,236
"ENSG00000003249","DBNDD1",4700,509,572,734,476,595,744
"ENSG00000003393","ALS2",10438,4278,4058,5640,3809,4212,4253
"ENSG00000003400","CASP10",7581,16,13,10,4,15,14
"ENSG00000003402","CFLAR",22479,196,1765,1829,143,1445,1655
"ENSG00000003436","TFPI",11714,8940,8053,12152,5943,7345,7178
"ENSG00000003509","NDUFAF7",3651,1060,1182,1287,998,997,1054
"ENSG00000003756","RBM5",10357,5768,6144,7078,6628,5572,5607
"ENSG00000003987","MTMR7",6928,76,85,74,67,54,54
"ENSG00000003989","SLC7A2",7905,400,272,170,172,250,201
"ENSG00000004059","ARF5",1825,2868,2841,2539,2701,2771,2877
"ENSG00000004139","SARM1",11105,256,330,305,341,266,315
"ENSG00000004142","POLDIP2",2670,3411,3236,3560,3103,3382,3198
"ENSG00000004399","PLXND1",9738,16861,12653,11292,14826,14029,15101
"ENSG00000004455","AK2",9625,3396,3532,3932,3166,3570,3495
"ENSG00000004468","CD38",6857,29,33,56,60,18,36
"ENSG00000004478","FKBP4",5163,3246,3002,3398,2880,3376,3151
"ENSG00000004487","KDM1A",5440,8082,8770,9555,9000,8517,8105
"ENSG00000004534","RBM6",7299,3764,3994,4736,4242,3947,4071
"ENSG00000004660","CAMKK1",7433,763,624,723,573,573,562
"ENSG00000004700","RECQL",3779,2248,2298,2457,2133,2481,2382
"ENSG00000004766","VPS50",9559,1327,1272,1326,1075,1139,1223
